,Start,End,Duration
590,1530699.011,1537931.083,7232.07200000016
591,1530699.95,1538103.921,7403.971000000136
592,1530702.057,1536808.074,6106.016999999993
593,1530702.717,1538470.678,7767.961000000127
594,1530703.245,1537412.681,6709.435999999987
595,1530703.492,1537412.685,6709.19299999997
596,1536581.582,1536808.079,226.49699999997392
597,1530710.565,1548765.581,18055.01600000006
598,1530717.886,1536808.083,6090.19700000016
599,1530718.155,1539313.76,8595.604999999981
600,1530718.926,1537182.913,6463.986999999965
601,1530719.123,1537176.954,6457.831000000006
602,1538143.207,1538143.228,0.02099999994970858
603,1530785.098,1537782.805,6997.706999999937
604,1530790.736,1537173.578,6382.841999999946
605,1530795.19,1542942.071,12146.881000000052
606,1538588.467,1539745.448,1156.9810000001453
607,1530866.066,1547521.397,16655.331000000006
608,1530867.315,1539166.724,8299.408999999985
609,1530867.476,1544843.87,13976.394000000088
610,1530871.37,1544497.395,13626.024999999907
611,1540547.973,1542164.639,1616.6659999999683
612,1531215.793,1550891.584,19675.79099999997
613,1539165.825,1540436.687,1270.8619999999646
614,1530891.396,1536808.089,5916.69299999997
615,1530902.909,1540263.832,9360.922999999952
616,1531127.892,1536808.097,5680.2050000000745
617,1531129.849,1537585.537,6455.688000000082
618,1531130.336,1547637.475,16507.1390000002
619,1531130.329,1536595.525,5465.195999999996
620,1531131.716,1540377.633,9245.9169999999
621,1537271.236,1544583.8,7312.564000000013
622,1531137.265,1536894.4,5757.135000000009
623,1531138.275,1536894.404,5756.12900000019
624,1531138.124,1536894.408,5756.283999999985
625,1536916.886,1537961.358,1044.472000000067
626,1531149.102,1549076.639,17927.53700000001
627,1531154.14,1537784.078,6629.938000000082
628,1531213.778,1536918.387,5704.609000000171
629,1531213.953,1537326.262,6112.309000000125
630,1531298.816,1536635.134,5336.31799999997
